,ori,data_year,offense,state_abbr,cleared,actual
74,NC0410200,2001,human-trafficing,NC,0,0
75,NC0410200,2001,homicide,NC,12,20
76,NC0410200,2001,burglary,NC,398,3258
77,NC0410200,2001,arson,NC,9,79
78,NC0410200,2001,aggravated-assault,NC,404,864
79,NC0410200,2001,property-crime,NC,2644,14093
80,NC0410200,2001,rape-legacy,NC,29,89
81,NC0410200,2001,violent-crime,NC,601,1869
82,NC0410200,2001,rape,NC,0,0
83,NC0410200,2001,robbery,NC,156,896
84,NC0410200,2002,rape-legacy,NC,24,103
85,NC0410200,2002,rape,NC,0,0
86,NC0410200,2002,property-crime,NC,2588,13489
87,NC0410200,2002,robbery,NC,144,702
88,NC0410200,2002,violent-crime,NC,600,1639
89,NC0410200,2002,motor-vehicle-theft,NC,262,1151
90,NC0410200,2002,larceny,NC,1929,9392
91,NC0410200,2002,human-trafficing,NC,0,0
92,NC0410200,2002,homicide,NC,22,28
93,NC0410200,2002,burglary,NC,397,2946
94,NC0410200,2002,arson,NC,17,104
95,NC0410200,2002,aggravated-assault,NC,410,806
96,NC0410200,2003,homicide,NC,12,36
97,NC0410200,2003,rape,NC,0,0
98,NC0410200,2003,rape-legacy,NC,26,97
99,NC0410200,2003,robbery,NC,120,697
100,NC0410200,2003,violent-crime,NC,496,1547
101,NC0410200,2003,property-crime,NC,2566,13758
102,NC0410200,2003,motor-vehicle-theft,NC,191,1048
103,NC0410200,2003,larceny,NC,1987,9455
104,NC0410200,2003,human-trafficing,NC,0,0
105,NC0410200,2003,burglary,NC,388,3255
106,NC0410200,2003,arson,NC,9,91
107,NC0410200,2003,aggravated-assault,NC,338,717
108,NC0410200,2004,aggravated-assault,NC,273,791
109,NC0410200,2004,robbery,NC,121,802
110,NC0410200,2004,rape-legacy,NC,16,104
111,NC0410200,2004,rape,NC,0,0
112,NC0410200,2004,property-crime,NC,2202,13754
113,NC0410200,2004,motor-vehicle-theft,NC,171,1081
114,NC0410200,2004,violent-crime,NC,416,1711
115,NC0410200,2004,larceny,NC,1697,9232
116,NC0410200,2004,human-trafficing,NC,0,0
117,NC0410200,2004,homicide,NC,6,14
118,NC0410200,2004,burglary,NC,334,3441
119,NC0410200,2004,arson,NC,9,105
120,NC0410200,2005,violent-crime,NC,611,1941
121,NC0410200,2005,robbery,NC,147,787
122,NC0410200,2005,rape-legacy,NC,24,85
123,NC0410200,2005,rape,NC,0,0
124,NC0410200,2005,property-crime,NC,2109,14360
125,NC0410200,2005,motor-vehicle-theft,NC,171,1208
126,NC0410200,2005,larceny,NC,1562,9198
127,NC0410200,2005,human-trafficing,NC,0,0
128,NC0410200,2005,homicide,NC,17,30
129,NC0410200,2005,burglary,NC,376,3954
130,NC0410200,2005,arson,NC,6,163
131,NC0410200,2005,aggravated-assault,NC,423,1039
132,NC0410200,2006,arson,NC,5,109
133,NC0410200,2006,violent-crime,NC,653,2062
134,NC0410200,2006,robbery,NC,186,901
135,NC0410200,2006,rape-legacy,NC,17,86
136,NC0410200,2006,rape,NC,0,0
137,NC0410200,2006,property-crime,NC,2163,14336
138,NC0410200,2006,motor-vehicle-theft,NC,171,1207
139,NC0410200,2006,larceny,NC,1562,9000
140,NC0410200,2006,human-trafficing,NC,0,0
141,NC0410200,2006,homicide,NC,11,27
142,NC0410200,2006,burglary,NC,430,4129
143,NC0410200,2006,aggravated-assault,NC,439,1048
144,NC0410200,2007,rape-legacy,NC,31,94
145,NC0410200,2007,violent-crime,NC,1035,2312
146,NC0410200,2007,aggravated-assault,NC,691,1236
147,NC0410200,2007,arson,NC,14,135
148,NC0410200,2007,burglary,NC,620,4704
149,NC0410200,2007,homicide,NC,30,40
150,NC0410200,2007,human-trafficing,NC,0,0
151,NC0410200,2007,larceny,NC,2141,8943
152,NC0410200,2007,motor-vehicle-theft,NC,210,1131
153,NC0410200,2007,property-crime,NC,2971,14778
154,NC0410200,2007,rape,NC,0,0
155,NC0410200,2007,robbery,NC,283,942
156,NC0410200,2008,human-trafficing,NC,0,0
157,NC0410200,2008,homicide,NC,18,24
158,NC0410200,2008,burglary,NC,663,4942
159,NC0410200,2008,arson,NC,16,108
160,NC0410200,2008,aggravated-assault,NC,606,1026
161,NC0410200,2008,robbery,NC,284,998
162,NC0410200,2008,property-crime,NC,3483,15809
163,NC0410200,2008,violent-crime,NC,985,2157
164,NC0410200,2008,rape,NC,0,0
165,NC0410200,2008,rape-legacy,NC,77,109
166,NC0410200,2008,motor-vehicle-theft,NC,213,1108
167,NC0410200,2008,larceny,NC,2607,9759
168,NC0410200,2009,violent-crime,NC,905,1940
169,NC0410200,2009,aggravated-assault,NC,581,932
170,NC0410200,2009,arson,NC,30,108
171,NC0410200,2009,burglary,NC,647,4789
172,NC0410200,2009,homicide,NC,6,24
173,NC0410200,2009,human-trafficing,NC,0,0
174,NC0410200,2009,larceny,NC,3063,9668
175,NC0410200,2009,motor-vehicle-theft,NC,204,846
176,NC0410200,2009,property-crime,NC,3914,15303
177,NC0410200,2009,rape,NC,0,0
178,NC0410200,2009,rape-legacy,NC,60,76
179,NC0410200,2009,robbery,NC,258,908
180,NC0410200,2010,larceny,NC,2647,8755
181,NC0410200,2010,aggravated-assault,NC,533,810
182,NC0410200,2010,arson,NC,18,87
183,NC0410200,2010,burglary,NC,585,4221
184,NC0410200,2010,homicide,NC,15,20
185,NC0410200,2010,human-trafficing,NC,0,0
186,NC0410200,2010,motor-vehicle-theft,NC,173,800
187,NC0410200,2010,property-crime,NC,3405,13776
188,NC0410200,2010,rape,NC,0,0
189,NC0410200,2010,rape-legacy,NC,32,56
190,NC0410200,2010,robbery,NC,244,626
191,NC0410200,2010,violent-crime,NC,824,1512
192,NC0410200,2011,violent-crime,NC,806,1427
193,NC0410200,2011,aggravated-assault,NC,521,762
194,NC0410200,2011,arson,NC,24,81
195,NC0410200,2011,burglary,NC,559,3617
196,NC0410200,2011,homicide,NC,38,34
197,NC0410200,2011,human-trafficing,NC,0,0
198,NC0410200,2011,larceny,NC,2583,8058
199,NC0410200,2011,motor-vehicle-theft,NC,131,742
200,NC0410200,2011,property-crime,NC,3273,12417
201,NC0410200,2011,rape,NC,0,0
202,NC0410200,2011,rape-legacy,NC,46,72
203,NC0410200,2011,robbery,NC,201,559
204,NC0410200,2012,property-crime,NC,3749,12064
205,NC0410200,2012,robbery,NC,320,556
206,NC0410200,2012,violent-crime,NC,1037,1555
207,NC0410200,2012,arson,NC,30,129
208,NC0410200,2012,burglary,NC,613,3345
209,NC0410200,2012,homicide,NC,17,21
210,NC0410200,2012,rape,NC,0,0
211,NC0410200,2012,rape-legacy,NC,53,70
212,NC0410200,2012,aggravated-assault,NC,647,908
213,NC0410200,2012,human-trafficing,NC,0,0
214,NC0410200,2012,larceny,NC,2988,8153
215,NC0410200,2012,motor-vehicle-theft,NC,148,566
216,NC0410200,2013,property-crime,NC,3937,11537
217,NC0410200,2013,motor-vehicle-theft,NC,133,502
218,NC0410200,2013,larceny,NC,3244,8063
219,NC0410200,2013,human-trafficing,NC,0,0
220,NC0410200,2013,homicide,NC,16,27
221,NC0410200,2013,burglary,NC,560,2972
222,NC0410200,2013,arson,NC,36,112
223,NC0410200,2013,aggravated-assault,NC,539,856
224,NC0410200,2013,rape-legacy,NC,50,70
225,NC0410200,2013,robbery,NC,293,496
226,NC0410200,2013,violent-crime,NC,898,1449
227,NC0410200,2013,rape,NC,0,0
228,NC0410200,2014,motor-vehicle-theft,NC,147,533
229,NC0410200,2014,property-crime,NC,3416,10160
230,NC0410200,2014,rape,NC,0,0
231,NC0410200,2014,rape-legacy,NC,31,52
232,NC0410200,2014,aggravated-assault,NC,442,784
233,NC0410200,2014,arson,NC,31,114
234,NC0410200,2014,burglary,NC,521,2508
235,NC0410200,2014,homicide,NC,16,23
236,NC0410200,2014,human-trafficing,NC,0,0
237,NC0410200,2014,larceny,NC,2748,7119
238,NC0410200,2014,violent-crime,NC,736,1346
239,NC0410200,2014,robbery,NC,247,487
240,NC0410200,2015,aggravated-assault,NC,474,1079
241,NC0410200,2015,human-trafficing,NC,0,0
242,NC0410200,2015,larceny,NC,2227,7296
243,NC0410200,2015,motor-vehicle-theft,NC,125,539
244,NC0410200,2015,property-crime,NC,2722,10204
245,NC0410200,2015,rape,NC,0,0
246,NC0410200,2015,rape-legacy,NC,46,72
247,NC0410200,2015,robbery,NC,256,530
248,NC0410200,2015,violent-crime,NC,787,1707
249,NC0410200,2015,arson,NC,31,99
250,NC0410200,2015,burglary,NC,370,2369
251,NC0410200,2015,homicide,NC,11,26
252,NC0410200,2016,property-crime,NC,2148,9277
253,NC0410200,2016,rape,NC,0,0
254,NC0410200,2016,motor-vehicle-theft,NC,127,676
255,NC0410200,2016,larceny,NC,1729,6455
256,NC0410200,2016,human-trafficing,NC,0,0
257,NC0410200,2016,homicide,NC,20,35
258,NC0410200,2016,burglary,NC,292,2146
259,NC0410200,2016,violent-crime,NC,730,1855
260,NC0410200,2016,arson,NC,20,116
261,NC0410200,2016,aggravated-assault,NC,451,1186
262,NC0410200,2016,robbery,NC,210,550
263,NC0410200,2016,rape-legacy,NC,49,84
264,NC0410200,2017,aggravated-assault,NC,488,1394
265,NC0410200,2017,arson,NC,22,115
266,NC0410200,2017,burglary,NC,334,2062
267,NC0410200,2017,homicide,NC,18,46
268,NC0410200,2017,human-trafficing,NC,0,0
269,NC0410200,2017,violent-crime,NC,816,2192
270,NC0410200,2017,property-crime,NC,2327,10332
271,NC0410200,2017,rape,NC,70,88
272,NC0410200,2017,rape-legacy,NC,0,0
273,NC0410200,2017,robbery,NC,240,664
274,NC0410200,2017,motor-vehicle-theft,NC,189,846
275,NC0410200,2017,larceny,NC,1804,7424
276,NC0410200,2018,burglary,NC,242,2117
277,NC0410200,2018,rape-legacy,NC,0,0
278,NC0410200,2018,robbery,NC,159,536
279,NC0410200,2018,violent-crime,NC,607,1860
280,NC0410200,2018,motor-vehicle-theft,NC,93,679
281,NC0410200,2018,property-crime,NC,1617,9831
282,NC0410200,2018,rape,NC,49,80
283,NC0410200,2018,aggravated-assault,NC,383,1207
284,NC0410200,2018,larceny,NC,1282,7035
285,NC0410200,2018,human-trafficing,NC,0,0
286,NC0410200,2018,homicide,NC,16,37
287,NC0410200,2018,arson,NC,6,62
288,NC0410200,2019,property-crime,NC,1153,10994
289,NC0410200,2019,rape,NC,23,113
290,NC0410200,2019,motor-vehicle-theft,NC,98,987
291,NC0410200,2019,rape-legacy,NC,20,101
292,NC0410200,2019,robbery,NC,109,621
293,NC0410200,2019,violent-crime,NC,465,2541
294,NC0410200,2019,larceny,NC,869,7792
295,NC0410200,2019,arson,NC,14,90
296,NC0410200,2019,aggravated-assault,NC,294,1663
297,NC0410200,2019,human-trafficing,NC,0,0
298,NC0410200,2019,homicide,NC,19,43
299,NC0410200,2019,burglary,NC,186,2215
0,WA0270000,1995,aggravated-assault,WA,764,1587
1,WA0270000,1995,human-trafficing,WA,0,0
2,WA0270000,1995,arson,WA,27,136
3,WA0270000,1995,property-crime,WA,2001,17650
4,WA0270000,1995,motor-vehicle-theft,WA,197,1774
5,WA0270000,1995,larceny,WA,1339,11789
6,WA0270000,1995,homicide,WA,17,22
7,WA0270000,1995,burglary,WA,465,4087
8,WA0270000,1995,violent-crime,WA,991,2210
9,WA0270000,1995,robbery,WA,89,414
10,WA0270000,1995,rape-legacy,WA,121,187
11,WA0270000,1995,rape,WA,0,0
12,WA0270000,1996,burglary,WA,311,4073
13,WA0270000,1996,arson,WA,14,97
14,WA0270000,1996,aggravated-assault,WA,710,1363
15,WA0270000,1996,motor-vehicle-theft,WA,202,1871
16,WA0270000,1996,larceny,WA,1322,12370
17,WA0270000,1996,homicide,WA,16,22
18,WA0270000,1996,human-trafficing,WA,0,0
19,WA0270000,1996,violent-crime,WA,892,1897
20,WA0270000,1996,robbery,WA,75,371
21,WA0270000,1996,rape-legacy,WA,91,141
22,WA0270000,1996,rape,WA,0,0
23,WA0270000,1996,property-crime,WA,1835,18314
24,WA0270000,1997,aggravated-assault,WA,413,896
25,WA0270000,1997,burglary,WA,224,3003
26,WA0270000,1997,homicide,WA,8,7
27,WA0270000,1997,human-trafficing,WA,0,0
28,WA0270000,1997,larceny,WA,760,7700
29,WA0270000,1997,motor-vehicle-theft,WA,123,1188
30,WA0270000,1997,property-crime,WA,1107,11891
31,WA0270000,1997,rape,WA,0,0
32,WA0270000,1997,rape-legacy,WA,46,96
33,WA0270000,1997,robbery,WA,44,181
34,WA0270000,1997,violent-crime,WA,511,1180
35,WA0270000,1997,arson,WA,11,89
36,WA0270000,1998,robbery,WA,24,180
37,WA0270000,1998,violent-crime,WA,333,1126
38,WA0270000,1998,rape-legacy,WA,20,102
39,WA0270000,1998,rape,WA,0,0
40,WA0270000,1998,property-crime,WA,784,12517
41,WA0270000,1998,motor-vehicle-theft,WA,85,1343
42,WA0270000,1998,larceny,WA,540,7881
43,WA0270000,1998,human-trafficing,WA,0,0
44,WA0270000,1998,homicide,WA,6,10
45,WA0270000,1998,burglary,WA,159,3293
46,WA0270000,1998,arson,WA,17,98
47,WA0270000,1998,aggravated-assault,WA,283,834
48,WA0270000,1999,larceny,WA,415,7581
49,WA0270000,1999,property-crime,WA,1699,12046
50,WA0270000,1999,robbery,WA,29,142
51,WA0270000,1999,rape,WA,0,0
52,WA0270000,1999,rape-legacy,WA,25,99
53,WA0270000,1999,violent-crime,WA,356,948
54,WA0270000,1999,aggravated-assault,WA,294,698
55,WA0270000,1999,arson,WA,26,76
56,WA0270000,1999,burglary,WA,175,3040
57,WA0270000,1999,homicide,WA,8,9
58,WA0270000,1999,human-trafficing,WA,0,0
59,WA0270000,1999,motor-vehicle-theft,WA,1109,1425
60,WA0270000,2000,burglary,WA,192,3390
61,WA0270000,2000,rape,WA,0,0
62,WA0270000,2000,violent-crime,WA,450,1120
63,WA0270000,2000,robbery,WA,32,191
64,WA0270000,2000,rape-legacy,WA,38,101
65,WA0270000,2000,motor-vehicle-theft,WA,146,1568
66,WA0270000,2000,larceny,WA,406,8864
67,WA0270000,2000,human-trafficing,WA,0,0
68,WA0270000,2000,homicide,WA,5,9
69,WA0270000,2000,arson,WA,32,103
70,WA0270000,2000,aggravated-assault,WA,375,819
71,WA0270000,2000,property-crime,WA,744,13822
72,WA0270000,2001,robbery,WA,81,191
73,WA0270000,2001,burglary,WA,252,2536
74,WA0270000,2001,homicide,WA,14,12
75,WA0270000,2001,human-trafficing,WA,0,0
76,WA0270000,2001,larceny,WA,483,7209
77,WA0270000,2001,motor-vehicle-theft,WA,168,1582
78,WA0270000,2001,property-crime,WA,903,11327
79,WA0270000,2001,rape,WA,0,0
80,WA0270000,2001,rape-legacy,WA,43,63
81,WA0270000,2001,violent-crime,WA,506,866
82,WA0270000,2001,aggravated-assault,WA,368,600
83,WA0270000,2001,arson,WA,24,70
84,WA0270000,2002,motor-vehicle-theft,WA,122,1677
85,WA0270000,2002,larceny,WA,407,7101
86,WA0270000,2002,human-trafficing,WA,0,0
87,WA0270000,2002,homicide,WA,3,7
88,WA0270000,2002,burglary,WA,163,2697
89,WA0270000,2002,arson,WA,10,96
90,WA0270000,2002,aggravated-assault,WA,371,752
91,WA0270000,2002,violent-crime,WA,478,1008
92,WA0270000,2002,rape,WA,0,0
93,WA0270000,2002,rape-legacy,WA,49,104
94,WA0270000,2002,robbery,WA,55,145
95,WA0270000,2002,property-crime,WA,692,11475
96,WA0270000,2003,robbery,WA,57,185
97,WA0270000,2003,aggravated-assault,WA,428,852
98,WA0270000,2003,arson,WA,8,60
99,WA0270000,2003,burglary,WA,199,2587
100,WA0270000,2003,homicide,WA,6,7
101,WA0270000,2003,human-trafficing,WA,0,0
102,WA0270000,2003,larceny,WA,446,6596
103,WA0270000,2003,motor-vehicle-theft,WA,97,1643
104,WA0270000,2003,property-crime,WA,742,10826
105,WA0270000,2003,rape,WA,0,0
106,WA0270000,2003,rape-legacy,WA,53,86
107,WA0270000,2003,violent-crime,WA,544,1130
108,WA0270000,2004,motor-vehicle-theft,WA,78,1665
109,WA0270000,2004,violent-crime,WA,456,1046
110,WA0270000,2004,robbery,WA,47,199
111,WA0270000,2004,rape-legacy,WA,42,110
112,WA0270000,2004,rape,WA,0,0
113,WA0270000,2004,property-crime,WA,719,10712
114,WA0270000,2004,larceny,WA,414,6177
115,WA0270000,2004,human-trafficing,WA,0,0
116,WA0270000,2004,homicide,WA,8,10
117,WA0270000,2004,burglary,WA,227,2870
118,WA0270000,2004,arson,WA,26,76
119,WA0270000,2004,aggravated-assault,WA,359,727
120,WA0270000,2005,robbery,WA,52,200
121,WA0270000,2005,violent-crime,WA,528,1105
122,WA0270000,2005,aggravated-assault,WA,370,800
123,WA0270000,2005,arson,WA,19,75
124,WA0270000,2005,burglary,WA,207,2899
125,WA0270000,2005,homicide,WA,9,11
126,WA0270000,2005,human-trafficing,WA,0,0
127,WA0270000,2005,larceny,WA,406,6113
128,WA0270000,2005,motor-vehicle-theft,WA,93,2040
129,WA0270000,2005,property-crime,WA,706,11052
130,WA0270000,2005,rape,WA,0,0
131,WA0270000,2005,rape-legacy,WA,97,94
132,WA0270000,2006,motor-vehicle-theft,WA,98,1854
133,WA0270000,2006,larceny,WA,429,6019
134,WA0270000,2006,aggravated-assault,WA,462,862
135,WA0270000,2006,human-trafficing,WA,0,0
136,WA0270000,2006,homicide,WA,3,5
137,WA0270000,2006,violent-crime,WA,631,1197
138,WA0270000,2006,burglary,WA,250,2997
139,WA0270000,2006,robbery,WA,88,228
140,WA0270000,2006,arson,WA,23,82
141,WA0270000,2006,rape-legacy,WA,78,102
142,WA0270000,2006,rape,WA,0,0
143,WA0270000,2006,property-crime,WA,777,10870
144,WA0270000,2007,motor-vehicle-theft,WA,78,1854
145,WA0270000,2007,aggravated-assault,WA,449,819
146,WA0270000,2007,arson,WA,9,83
147,WA0270000,2007,burglary,WA,193,2749
148,WA0270000,2007,homicide,WA,6,7
149,WA0270000,2007,human-trafficing,WA,0,0
150,WA0270000,2007,larceny,WA,391,5849
151,WA0270000,2007,property-crime,WA,662,10452
152,WA0270000,2007,rape,WA,0,0
153,WA0270000,2007,rape-legacy,WA,25,101
154,WA0270000,2007,robbery,WA,57,187
155,WA0270000,2007,violent-crime,WA,537,1114
156,WA0270000,2008,human-trafficing,WA,0,0
157,WA0270000,2008,rape-legacy,WA,34,106
158,WA0270000,2008,rape,WA,0,0
159,WA0270000,2008,property-crime,WA,757,10083
160,WA0270000,2008,motor-vehicle-theft,WA,77,1432
161,WA0270000,2008,larceny,WA,488,6110
162,WA0270000,2008,homicide,WA,11,10
163,WA0270000,2008,burglary,WA,192,2541
164,WA0270000,2008,arson,WA,8,63
165,WA0270000,2008,aggravated-assault,WA,409,827
166,WA0270000,2008,violent-crime,WA,503,1147
167,WA0270000,2008,robbery,WA,49,204
168,WA0270000,2009,robbery,WA,70,260
169,WA0270000,2009,violent-crime,WA,621,1189
170,WA0270000,2009,aggravated-assault,WA,489,810
171,WA0270000,2009,arson,WA,13,44
172,WA0270000,2009,burglary,WA,199,2980
173,WA0270000,2009,homicide,WA,11,19
174,WA0270000,2009,human-trafficing,WA,0,0
175,WA0270000,2009,larceny,WA,560,6205
176,WA0270000,2009,motor-vehicle-theft,WA,50,1244
177,WA0270000,2009,property-crime,WA,809,10429
178,WA0270000,2009,rape,WA,0,0
179,WA0270000,2009,rape-legacy,WA,51,100
180,WA0270000,2010,aggravated-assault,WA,435,764
181,WA0270000,2010,violent-crime,WA,528,1143
182,WA0270000,2010,robbery,WA,69,263
183,WA0270000,2010,rape-legacy,WA,17,106
184,WA0270000,2010,rape,WA,0,0
185,WA0270000,2010,property-crime,WA,839,9585
186,WA0270000,2010,motor-vehicle-theft,WA,64,1185
187,WA0270000,2010,larceny,WA,557,5210
188,WA0270000,2010,human-trafficing,WA,0,0
189,WA0270000,2010,homicide,WA,7,10
190,WA0270000,2010,burglary,WA,218,3190
191,WA0270000,2010,arson,WA,6,53
192,WA0270000,2011,violent-crime,WA,538,927
193,WA0270000,2011,robbery,WA,63,218
194,WA0270000,2011,rape-legacy,WA,58,91
195,WA0270000,2011,rape,WA,0,0
196,WA0270000,2011,property-crime,WA,979,9647
197,WA0270000,2011,motor-vehicle-theft,WA,45,1112
198,WA0270000,2011,larceny,WA,633,5380
199,WA0270000,2011,human-trafficing,WA,0,0
200,WA0270000,2011,homicide,WA,6,10
201,WA0270000,2011,burglary,WA,301,3155
202,WA0270000,2011,arson,WA,16,48
203,WA0270000,2011,aggravated-assault,WA,411,608
204,WA0270000,2012,violent-crime,WA,628,1015
205,WA0270000,2012,aggravated-assault,WA,465,685
206,WA0270000,2012,arson,WA,13,46
207,WA0270000,2012,burglary,WA,280,3719
208,WA0270000,2012,homicide,WA,9,22
209,WA0270000,2012,human-trafficing,WA,0,0
210,WA0270000,2012,larceny,WA,548,5348
211,WA0270000,2012,motor-vehicle-theft,WA,66,1115
212,WA0270000,2012,property-crime,WA,894,10182
213,WA0270000,2012,rape,WA,0,0
214,WA0270000,2012,rape-legacy,WA,67,106
215,WA0270000,2012,robbery,WA,87,202
216,WA0270000,2013,larceny,WA,474,5561
217,WA0270000,2013,arson,WA,11,59
218,WA0270000,2013,aggravated-assault,WA,465,691
219,WA0270000,2013,violent-crime,WA,593,980
220,WA0270000,2013,burglary,WA,335,3275
221,WA0270000,2013,homicide,WA,7,10
222,WA0270000,2013,human-trafficing,WA,0,0
223,WA0270000,2013,motor-vehicle-theft,WA,49,1112
224,WA0270000,2013,property-crime,WA,858,9948
225,WA0270000,2013,rape,WA,48,97
226,WA0270000,2013,rape-legacy,WA,0,0
227,WA0270000,2013,robbery,WA,73,182
228,WA0270000,2014,property-crime,WA,665,9243
229,WA0270000,2014,rape-legacy,WA,0,0
230,WA0270000,2014,robbery,WA,82,253
231,WA0270000,2014,arson,WA,18,56
232,WA0270000,2014,aggravated-assault,WA,495,726
233,WA0270000,2014,violent-crime,WA,626,1093
234,WA0270000,2014,burglary,WA,312,3177
235,WA0270000,2014,homicide,WA,9,12
236,WA0270000,2014,human-trafficing,WA,0,0
237,WA0270000,2014,larceny,WA,280,4826
238,WA0270000,2014,motor-vehicle-theft,WA,73,1240
239,WA0270000,2014,rape,WA,40,102
240,WA0270000,2015,violent-crime,WA,642,1109
241,WA0270000,2015,rape-legacy,WA,0,0
242,WA0270000,2015,rape,WA,77,130
243,WA0270000,2015,property-crime,WA,583,8467
244,WA0270000,2015,motor-vehicle-theft,WA,66,1042
245,WA0270000,2015,larceny,WA,272,4515
246,WA0270000,2015,human-trafficing,WA,0,0
247,WA0270000,2015,homicide,WA,17,18
248,WA0270000,2015,burglary,WA,245,2910
249,WA0270000,2015,arson,WA,17,50
250,WA0270000,2015,aggravated-assault,WA,480,737
251,WA0270000,2015,robbery,WA,68,224
252,WA0270000,2016,aggravated-assault,WA,491,794
253,WA0270000,2016,arson,WA,12,40
254,WA0270000,2016,burglary,WA,319,2653
255,WA0270000,2016,homicide,WA,9,12
256,WA0270000,2016,human-trafficing,WA,0,0
257,WA0270000,2016,larceny,WA,321,5022
258,WA0270000,2016,motor-vehicle-theft,WA,86,1545
259,WA0270000,2016,property-crime,WA,726,9220
260,WA0270000,2016,rape,WA,87,147
261,WA0270000,2016,rape-legacy,WA,0,0
262,WA0270000,2016,robbery,WA,97,242
263,WA0270000,2016,violent-crime,WA,684,1195
264,WA0270000,2017,violent-crime,WA,770,1385
265,WA0270000,2017,robbery,WA,85,211
266,WA0270000,2017,rape-legacy,WA,51,116
267,WA0270000,2017,rape,WA,79,136
268,WA0270000,2017,property-crime,WA,607,8593
269,WA0270000,2017,motor-vehicle-theft,WA,78,1218
270,WA0270000,2017,larceny,WA,258,5140
271,WA0270000,2017,human-trafficing,WA,0,0
272,WA0270000,2017,homicide,WA,5,7
273,WA0270000,2017,burglary,WA,271,2235
274,WA0270000,2017,arson,WA,13,55
275,WA0270000,2017,aggravated-assault,WA,550,915
276,WA0270000,2018,larceny,WA,247,4663
277,WA0270000,2018,aggravated-assault,WA,508,845
278,WA0270000,2018,arson,WA,11,39
279,WA0270000,2018,burglary,WA,225,1899
280,WA0270000,2018,homicide,WA,11,16
